,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
22547,a3a235_49148,33879.00717703349,842.4828473682362,471.5683376347245,68271.30369030916
22548,a3a235_49154,33149.8485995458,1293.3546042456128,462.0298885279316,70720.73605173772
22549,a3ad5a_49355,31990.930674264007,980.7384529598236,461.56750005229503,72849.01182481881
22550,a3b111_49469,34613.2367716008,2369.7791386668023,448.425735256637,69202.20282290045
22551,a3b111_49470,33831.43901209677,2378.899058937646,451.81100746900864,71015.17388489867
22552,a3b4c8_49540,32685.259238830666,1491.9320511944793,454.9054824400347,72129.31833544394
22553,a3b4c8_49545,34688.88716676999,1244.564771280097,456.197059403854,67098.86527451314
22554,a3b4c8_49552,33622.413194444445,1402.719893511293,456.5202644968763,69821.85219186197
22555,a3be8f_49684,33960.69078947369,863.9907285679786,449.92856992753246,68120.39499239027
22556,a3c246_49736,33109.04696132597,1243.8128287441182,452.6424812008912,70729.58806713864
22557,a3c5fd_49790,33921.77314211213,1334.1712033886013,457.0833871950605,69016.09004044386
22558,a3c5fd_49791,33032.84708249497,1269.2781182372478,455.5596380795208,70948.43528856557
22559,a3cd6b_49914,33784.38045375218,1308.1273490052574,456.11695172905,69287.29458640736
22560,a3cd6b_49917,34979.70610119047,1251.5245182045749,449.0678557050184,66442.21396043853
22561,a3d890_50096,35002.842881944445,1223.1206745581594,458.0114826546837,66340.31866628646
22562,a3d890_50102,33720.81668331668,1101.3440619697292,452.0683819158649,69078.8521631097
22563,a3dc47_50161,34895.42471746263,2010.184770253284,462.7669076486737,67936.85897854356
22564,a3e5fa_50261,33840.49881235154,800.64770235756,460.74234425913903,68288.09818483028
22565,a3ed7c_50391,33000.37291169451,1324.1855944519932,449.13360020429417,71117.24311532838
22566,a3f4ea_50543,34441.100993377484,1230.69162403274,456.70067629203714,67644.73087896669
22567,a3f4ea_50544,35914.41605839416,1292.6227329479416,450.4333005000676,64363.81134115021
22568,a3f4ea_50548,34611.67992047714,1105.412366886418,457.6766625334735,67037.75637776055
22569,a403c6_50767,32857.465698143664,1672.6833932748232,452.40700472640987,72043.35669693133
22570,a403c6_50771,33984.2370039128,1449.6025479575028,453.07764099313647,69070.41880079889
22571,a41144_50976,34971.33987701041,1682.6057549142686,450.6909385845216,67200.62811394867
22572,a414fb_51017,33311.72650878533,1211.8606393600214,462.87821903921815,70208.84415902177
22573,a423d7_51290,33300.92302878598,1343.77774049816,457.66065475963165,70459.88099525543
22574,a4278e_51346,33956.25598086124,1542.024226425715,466.37387658294057,69293.22307043242
22575,a4278e_51348,35186.725239616615,1351.10769265803,450.5427878105077,66137.03878660816
22576,a4278e_51357,34972.250361794504,1306.0729856626408,460.4152600541919,66552.88945752611
22577,a42b45_51413,34758.47701149425,1263.8364377192577,460.7913485765493,66971.92537316392
22578,a438c3_51560,35265.17857142857,1193.9903680529349,448.30953586656415,65687.26553406625
