,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude
291,ac1-108,37998.993662864385,1242.1208223863655,54503.65998535156,50258.03533935548,434.1848525018558,0.6802636248415714,38010.0
292,ac2-078,35560.993109579904,2739.96089893629,66678.0793762207,57424.79489135742,433.5540505143851,0.7599999999999999,36010.0
293,ac2-175,37999.25684289464,1736.585368969977,65081.43421020508,58967.00897216797,442.9141625122981,0.7359999999999999,38014.0
294,ac1-543,37001.46858974359,1906.778864785027,67421.97087402343,60708.80369873047,443.4443290007026,0.7439999999999999,37018.0
295,ac2-142,37998.948527939116,2736.4273215423364,68020.7128112793,58876.29049682618,440.66603511834074,0.7599999999999999,38018.0
296,ac2-341,33999.61521972133,1339.0469104799151,68782.74800415039,63430.35795898438,439.88842203071226,0.6799999999999998,34010.0
297,ac2-154,38000.07171314741,1345.8890638728608,57696.95031738281,53179.170245361325,439.990510724817,0.7088992601024473,38014.0
298,ac1-328,38000.163265306124,1241.3218485438388,63847.66294555664,59003.29636230469,443.8625570554775,0.757921088435374,38018.0
299,ac2-073,33949.72038637519,1371.5047935769503,60599.94152832031,55628.56907958984,422.27521858883546,0.72,33962.0
300,ac2-095,36944.55008787346,3072.7594021031205,69762.5075378418,59239.16439819336,445.0575005173971,0.7215268892794375,36958.0
301,ac2-371,32954.769023569024,1944.4899894828643,71086.99727783204,63865.80664062501,441.5243231148136,0.5280000000000001,32966.0
303,ac2-130,38999.34896401309,1301.775522399612,63394.07056884766,58785.572021484375,444.6443410571257,0.7599999999999998,39018.0
304,ac2-461,38870.11614550096,2583.560039002117,64872.781716918944,56590.18491821289,444.218722050815,0.7603624760689214,39014.0
305,ac1-038,38996.00069759331,1724.484184672155,62740.897546386725,56934.91512451172,443.70606381556615,0.7599999999999999,39018.0
306,ac1-556,34200.97811158798,2497.098311415847,65553.17028198243,56953.05881958008,442.47279294322146,0.07795708154506437,34998.0
308,ac1-425,38760.484096198605,2747.104296412428,62105.86821899415,53269.88872070313,444.48079131350687,0.004518231186966642,39014.0
310,ac1-566,34001.74687270052,972.702619790193,62976.7655822754,59057.727447509766,431.97949867582145,0.6479999999999999,34020.0
311,ac1-397,37002.004385964916,1697.2818584895456,64881.85356445313,59057.727447509766,443.1715556917486,0.7641228070175438,37016.0
313,ac2-212,36122.636290967224,2667.4120679552675,70869.27293701172,61615.98845214844,440.5946657937168,0.7610295763389286,37934.0
314,ac2-459,39000.4548863887,2585.024082897315,62595.74798583984,54576.234765625006,443.7866528130954,0.7599999999999999,39014.0
315,ac2-429,36547.37475345167,1056.9562826619317,68202.1497619629,64137.96206665039,444.14799161875186,0.7277712031558183,36950.0
316,ac2-140,35998.64519098021,2533.761921445212,67530.83304443359,58967.00897216797,435.9073641851556,0.7439999999999999,36014.0
317,ac2-473,36125.80832634814,2439.939921578408,67784.84477539064,59493.17612915039,443.1430964997389,0.7770036322995251,37954.0
318,ac2-330,36408.79392624729,1159.771108305995,57334.076416015625,53360.60719604492,435.78512885095745,0.7599999999999999,37994.0
320,ac1-430,37839.11598746081,1100.4588314125278,54793.95910644532,50838.63358154297,438.72123135818674,0.7399310344827584,38014.0
